Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2020-01-01 00:00:00,24.76,NA,4.98,15.23,17.09,NA,5.12,0.91,28.18,1.27,1.59,NA,NA,0.60,NA,NA,85.01,1.68,40.58,NA,NA,326.97,999.91,0.04
2020-01-02 00:00:00,43.35,NA,5.27,20.93,25.69,NA,6.34,0.80,19.24,1.28,1.60,NA,NA,0.60,NA,NA,79.31,1.68,40.81,NA,NA,329.70,NA,0.02
2020-01-03 00:00:00,18.82,NA,4.14,18.06,21.94,NA,5.30,0.83,22.75,1.28,1.59,NA,NA,0.60,NA,NA,72.70,1.67,41.42,NA,NA,324.40,999.32,0.01
2020-01-04 00:00:00,33.20,NA,6.99,12.72,18.09,NA,9.46,0.99,17.68,1.27,1.59,NA,NA,0.60,NA,NA,69.46,1.67,41.36,NA,NA,322.88,999.50,-0.05
2020-01-05 00:00:00,22.22,NA,55.06,69.65,53.76,NA,8.46,0.80,27.16,1.29,1.61,NA,NA,0.60,NA,NA,72.45,1.67,40.47,NA,NA,321.53,998.96,-0.01
2020-01-06 00:00:00,12.18,NA,1.33,3.13,2.23,NA,5.69,0.65,22.62,1.28,1.60,NA,NA,0.60,NA,NA,81.77,1.68,41.58,NA,NA,326.58,999.65,0.03
2020-01-07 00:00:00,13.79,NA,136.68,14.35,9.04,NA,4.48,0.69,24.54,1.28,1.60,NA,NA,0.60,NA,NA,74.20,1.70,39.49,NA,NA,339.46,NA,0.01
2020-01-08 00:00:00,18.61,NA,3.28,29.85,33.13,NA,4.53,0.73,37.25,1.34,1.67,NA,NA,0.55,NA,NA,66.66,1.72,42.01,NA,NA,352.95,NA,-0.03
2020-01-09 00:00:00,17.15,NA,3.66,24.81,28.26,NA,5.55,0.78,40.86,1.05,1.31,NA,NA,0.46,NA,NA,65.46,1.72,48.03,NA,NA,361.69,NA,-0.04
2020-01-10 00:00:00,21.93,NA,3.94,25.80,29.64,NA,7.70,0.81,40.96,0.72,0.90,NA,NA,0.50,NA,NA,63.91,1.72,57.26,NA,NA,361.91,NA,-0.07
2020-01-11 00:00:00,13.58,NA,3.94,20.37,24.27,NA,5.28,0.67,40.68,0.72,0.90,NA,NA,0.50,NA,NA,64.39,1.74,56.72,NA,NA,373.33,NA,-0.07
2020-01-12 00:00:00,12.40,NA,3.97,28.59,32.16,NA,6.95,0.63,29.34,0.72,0.90,NA,NA,0.50,NA,NA,68.72,1.70,57.22,NA,NA,361.99,NA,-0.15
2020-01-13 00:00:00,25.08,NA,10.74,41.04,49.92,NA,2.79,0.67,30.55,0.72,0.90,NA,NA,0.50,NA,NA,70.80,1.69,58.24,NA,NA,357.66,NA,-0.19
2020-01-14 00:00:00,37.27,NA,11.85,48.30,53.54,NA,4.62,0.70,40.16,0.73,0.91,NA,NA,0.49,NA,NA,61.11,1.73,57.45,NA,NA,362.19,NA,-0.09
2020-01-15 00:00:00,24.91,NA,36.96,53.28,67.56,NA,5.14,0.73,46.79,0.72,0.90,NA,NA,0.51,NA,NA,57.52,1.83,56.86,NA,NA,427.72,NA,-0.11
2020-01-16 00:00:00,21.84,NA,5.22,32.17,37.34,NA,6.25,0.62,45.09,0.72,0.90,NA,NA,0.50,NA,NA,62.35,1.82,56.94,NA,NA,416.62,NA,-0.09
2020-01-17 00:00:00,23.20,NA,10.25,38.51,48.34,NA,5.91,0.67,32.96,0.72,0.90,NA,NA,0.50,NA,NA,58.46,1.81,57.78,NA,NA,415.78,NA,-0.09
2020-01-18 00:00:00,16.79,NA,4.20,19.78,27.48,NA,5.84,0.67,22.72,0.72,0.90,NA,NA,0.50,NA,NA,81.04,1.80,53.09,NA,NA,405.11,NA,0.02
2020-01-19 00:00:00,47.86,NA,3.97,18.24,22.15,NA,7.47,0.64,27.75,0.72,0.90,NA,NA,0.50,NA,NA,69.47,1.82,33.04,NA,NA,406.05,NA,-0.01
2020-01-20 00:00:00,18.06,NA,6.89,37.13,41.27,NA,5.45,0.61,34.83,0.72,0.91,NA,NA,0.50,NA,NA,63.04,1.83,31.41,NA,NA,411.39,NA,-0.08
