Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2021-01-01 00:00:00,61.44,107.68,33.59,49.71,53.41,10.11,5.28,0.75,18.64,0.15,1.59,NA,NA,NA,NA,21.28,64.74,NA,36.82,NA,NA,NA,712.73,NA
2021-01-02 00:00:00,59.73,101.00,43.33,58.81,66.52,11.76,9.89,0.78,13.00,2.18,0.55,NA,NA,NA,NA,21.06,71.17,NA,39.22,NA,NA,NA,712.54,NA
2021-01-03 00:00:00,41.11,65.75,22.98,41.37,40.69,5.11,7.55,0.42,12.78,1.73,0.19,NA,NA,NA,NA,22.39,71.42,NA,41.01,NA,NA,NA,710.94,NA
2021-01-04 00:00:00,39.77,73.00,54.56,51.25,71.62,8.86,10.57,0.75,6.34,2.33,0.79,NA,NA,NA,NA,21.43,73.66,NA,40.85,NA,NA,NA,711.40,NA
2021-01-05 00:00:00,35.45,70.65,50.53,48.14,65.64,8.91,10.08,0.70,8.10,5.30,0.75,NA,NA,NA,NA,22.42,71.85,NA,40.35,NA,NA,NA,711.77,NA
2021-01-06 00:00:00,17.65,32.05,60.15,52.43,76.78,7.16,12.93,1.08,6.73,21.97,1.08,NA,NA,NA,NA,21.55,67.56,NA,45.22,NA,NA,NA,710.78,NA
2021-01-07 00:00:00,27.67,70.08,55.17,45.29,68.94,6.49,18.35,1.04,8.39,6.96,1.50,NA,NA,NA,NA,22.94,78.29,NA,42.14,NA,NA,NA,710.50,NA
2021-01-08 00:00:00,29.74,61.23,49.53,27.93,55.13,6.24,6.78,0.65,1.29,5.25,0.86,NA,NA,NA,NA,23.32,73.15,NA,44.19,NA,NA,NA,709.68,NA
2021-01-09 00:00:00,30.93,66.30,42.44,42.57,55.57,9.78,8.63,0.68,2.20,3.80,1.01,NA,NA,NA,NA,22.18,74.34,NA,47.20,NA,NA,NA,710.48,NA
2021-01-10 00:00:00,36.47,67.05,16.60,57.89,41.09,8.53,4.24,0.83,2.76,1.87,0.33,NA,NA,NA,NA,22.60,71.07,NA,43.78,NA,NA,NA,710.89,NA
2021-01-11 00:00:00,48.78,97.71,50.18,76.49,78.69,19.48,10.70,1.26,1.23,4.85,0.98,NA,NA,NA,NA,22.80,69.27,NA,44.31,NA,NA,NA,711.76,NA
2021-01-12 00:00:00,47.60,101.40,60.52,72.59,87.82,15.81,8.71,0.93,7.30,10.61,1.68,NA,NA,NA,NA,21.49,68.23,NA,41.40,NA,NA,NA,711.75,NA
2021-01-13 00:00:00,49.24,95.79,48.48,75.72,79.68,14.64,12.92,0.63,13.29,7.11,1.09,NA,NA,NA,NA,22.40,63.57,NA,39.18,NA,NA,NA,711.59,NA
2021-01-14 00:00:00,50.68,85.05,25.33,62.09,52.94,9.19,10.22,0.75,17.90,3.96,0.56,NA,NA,NA,NA,21.38,69.35,NA,41.75,NA,NA,NA,711.53,NA
2021-01-15 00:00:00,51.32,81.62,17.39,63.91,47.79,8.86,10.72,0.53,23.89,0.90,0.42,NA,NA,NA,NA,22.69,65.80,NA,41.51,NA,NA,NA,711.09,NA
2021-01-16 00:00:00,53.07,85.55,7.96,66.89,40.51,8.24,8.08,0.46,22.57,0.68,0.45,NA,NA,NA,NA,22.93,66.86,NA,46.94,NA,NA,NA,710.32,NA
2021-01-17 00:00:00,51.78,85.99,10.06,74.38,46.21,8.22,9.02,0.46,22.91,0.18,0.34,NA,NA,NA,NA,19.34,62.35,NA,50.50,NA,NA,NA,711.11,NA
2021-01-18 00:00:00,44.55,81.30,23.94,85.97,61.56,12.02,8.79,0.62,22.01,0.32,0.10,NA,NA,NA,NA,NA,58.97,NA,43.59,NA,NA,NA,712.15,NA
2021-01-19 00:00:00,49.39,93.93,27.33,70.39,53.86,13.93,8.34,0.77,20.07,0.34,0.16,NA,NA,NA,NA,NA,60.79,NA,69.91,NA,NA,NA,712.00,NA
2021-01-20 00:00:00,60.69,106.88,13.71,50.39,37.83,18.31,3.65,0.62,40.86,0.53,1.73,NA,NA,NA,NA,NA,62.06,NA,104.33,NA,NA,NA,712.40,NA
2021-01-21 00:00:00,51.36,96.40,14.48,49.75,37.01,15.19,3.97,0.58,48.27,0.56,1.03,NA,NA,NA,NA,28.04,59.50,NA,99.41,NA,NA,NA,711.96,NA
2021-01-22 00:00:00,51.50,96.82,21.19,49.87,43.76,17.56,4.98,0.72,46.01,0.58,1.54,NA,NA,NA,NA,25.05,63.39,NA,101.88,NA,NA,NA,711.79,NA
2021-01-23 00:00:00,61.86,113.59,18.76,64.63,49.62,22.25,5.82,0.60,40.89,0.55,1.26,NA,NA,NA,NA,23.90,58.69,NA,105.64,NA,NA,NA,711.98,NA
2021-01-24 00:00:00,52.23,108.30,25.96,68.36,57.46,14.80,7.45,NA,26.05,0.83,0.61,NA,NA,NA,NA,25.70,45.03,NA,102.48,NA,NA,NA,712.62,NA
