Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2020-01-01 00:00:00,26.72,59.17,0.76,17.78,10.07,21.01,10.80,1.22,50.54,0.18,0.99,NA,NA,NA,NA,24.54,77.66,NA,166.30,NA,NA,NA,716.28,NA
2020-01-02 00:00:00,18.77,59.01,0.76,18.60,10.49,20.43,10.86,1.23,45.84,0.24,1.99,NA,NA,NA,NA,23.69,69.17,NA,208.15,NA,NA,NA,717.19,NA
2020-01-03 00:00:00,28.12,71.43,0.70,18.08,10.18,21.20,10.41,1.13,50.96,0.22,2.39,NA,NA,NA,NA,24.76,67.45,NA,225.73,NA,NA,NA,715.96,NA
2020-01-04 00:00:00,57.06,112.40,0.90,20.53,11.46,23.13,11.56,1.39,52.64,0.39,3.51,NA,NA,NA,NA,24.34,64.05,NA,305.97,NA,NA,NA,714.43,NA
2020-01-05 00:00:00,58.07,102.10,0.72,14.88,8.49,23.69,11.20,1.31,66.72,0.23,1.51,NA,NA,NA,NA,25.88,65.54,NA,162.72,NA,NA,NA,714.16,NA
2020-01-06 00:00:00,19.42,53.53,0.74,18.17,10.27,20.54,10.90,1.24,43.96,0.16,1.09,NA,NA,NA,NA,28.39,73.86,NA,71.96,NA,NA,NA,716.10,NA
2020-01-07 00:00:00,15.39,53.53,0.75,20.06,11.23,20.15,10.69,1.20,44.71,0.18,1.24,NA,NA,NA,NA,25.80,66.43,NA,98.15,NA,NA,NA,715.89,NA
2020-01-08 00:00:00,29.60,79.05,0.78,20.76,11.68,21.31,10.67,1.18,71.41,0.19,1.47,NA,NA,NA,NA,24.98,61.76,NA,124.35,NA,NA,NA,715.23,NA
2020-01-09 00:00:00,37.49,89.06,0.78,22.99,12.85,22.87,10.60,1.17,70.74,0.23,1.51,NA,NA,NA,NA,24.41,60.79,NA,143.82,NA,NA,NA,715.00,NA
2020-01-10 00:00:00,35.91,85.49,0.71,23.36,13.01,24.23,10.38,1.13,66.08,0.21,1.54,NA,NA,NA,NA,24.09,60.69,NA,52.07,NA,NA,NA,715.09,NA
2020-01-11 00:00:00,27.12,67.01,0.75,18.00,10.18,22.51,10.47,1.15,62.27,0.16,1.12,NA,NA,NA,NA,28.26,53.25,NA,51.79,NA,NA,NA,716.19,NA
2020-01-12 00:00:00,39.85,80.20,0.73,17.37,9.77,22.93,10.61,1.18,54.62,0.24,1.36,NA,NA,NA,NA,34.61,54.34,NA,43.39,NA,NA,NA,715.47,NA
2020-01-13 00:00:00,55.59,108.83,0.83,23.80,13.31,24.02,9.74,0.99,69.71,0.30,1.73,NA,NA,NA,NA,35.56,52.12,NA,49.96,NA,NA,NA,714.05,NA
2020-01-14 00:00:00,61.67,118.70,0.77,27.28,15.09,24.39,10.19,1.08,72.90,0.29,1.65,NA,NA,NA,NA,32.76,49.26,NA,115.65,NA,NA,NA,713.80,NA
2020-01-15 00:00:00,43.82,81.28,0.75,16.13,9.19,23.18,10.45,1.14,74.06,0.20,1.01,NA,NA,NA,NA,28.58,47.53,NA,95.29,NA,NA,NA,714.20,NA
2020-01-16 00:00:00,40.85,92.01,0.71,24.26,13.48,22.56,10.73,1.20,82.84,0.27,1.72,NA,NA,NA,NA,30.59,50.24,NA,113.43,NA,NA,NA,714.41,NA
2020-01-17 00:00:00,33.98,91.81,0.82,25.09,13.90,21.88,10.75,1.20,61.71,0.30,2.13,NA,NA,NA,NA,35.30,48.36,NA,100.59,NA,NA,NA,714.65,NA
2020-01-18 00:00:00,21.62,54.15,0.68,17.00,9.59,21.32,10.40,1.13,43.50,0.14,0.90,NA,NA,NA,NA,35.40,59.61,NA,54.03,NA,NA,NA,714.67,NA
2020-01-19 00:00:00,16.24,40.52,0.75,12.50,7.26,20.46,10.52,1.15,52.45,0.14,0.73,NA,NA,NA,NA,35.76,52.86,NA,74.03,NA,NA,NA,715.18,NA
2020-01-20 00:00:00,30.48,72.14,0.85,20.27,11.45,21.38,11.01,1.26,66.64,0.20,1.28,NA,NA,NA,NA,28.60,49.90,NA,64.79,NA,NA,NA,715.94,NA
2020-01-21 00:00:00,28.45,69.65,0.77,20.54,11.55,21.91,10.44,1.14,65.42,0.15,1.01,NA,NA,NA,NA,23.41,45.84,NA,104.22,NA,NA,NA,717.02,NA
2020-01-22 00:00:00,27.19,62.74,0.73,19.95,11.20,22.31,10.63,1.18,53.07,0.18,1.03,NA,NA,NA,NA,20.37,58.27,NA,163.51,NA,NA,NA,717.47,NA
2020-01-23 00:00:00,31.28,74.23,0.69,18.54,10.42,22.15,10.60,1.17,53.84,0.17,1.17,NA,NA,NA,NA,20.20,65.08,NA,163.56,NA,NA,NA,716.58,NA
2020-01-24 00:00:00,43.71,96.24,0.79,25.40,14.15,22.57,10.61,1.17,52.08,0.28,1.71,NA,NA,NA,NA,22.02,55.71,NA,163.50,NA,NA,NA,716.17,NA
2020-01-25 00:00:00,32.62,88.94,0.87,32.55,17.98,22.41,11.09,1.28,56.23,0.26,1.70,NA,NA,NA,NA,21.92,44.64,NA,183.53,NA,NA,NA,715.92,NA
2020-01-26 00:00:00,39.91,91.71,0.75,28.83,15.90,22.96,11.70,1.41,68.55,0.26,1.52,NA,NA,NA,NA,22.41,46.39,NA,168.08,NA,NA,NA,714.90,NA
2020-01-27 00:00:00,44.05,103.18,0.86,26.78,14.85,23.83,11.24,1.31,71.25,0.28,2.37,NA,NA,NA,NA,22.93,50.36,NA,108.79,NA,NA,NA,714.56,NA
2020-01-28 00:00:00,46.45,93.81,0.74,19.68,11.07,23.56,11.20,1.30,75.73,0.25,2.15,NA,NA,NA,NA,23.03,57.31,NA,129.08,NA,NA,NA,715.08,NA
2020-01-29 00:00:00,42.75,98.96,0.74,23.76,13.23,22.68,9.89,1.01,74.73,0.32,2.64,NA,NA,NA,NA,24.01,52.91,NA,119.58,NA,NA,NA,715.79,NA
2020-01-30 00:00:00,43.19,108.21,0.76,30.15,16.65,22.56,10.46,1.14,63.49,0.34,2.97,NA,NA,NA,NA,23.82,50.81,NA,125.92,NA,NA,NA,715.01,NA
2020-01-31 00:00:00,45.63,106.00,0.76,21.34,11.96,23.38,10.70,1.19,80.81,0.24,2.15,NA,NA,NA,NA,24.59,51.08,NA,107.97,NA,NA,NA,713.69,NA
2020-02-01 00:00:00,55.96,107.72,0.77,19.06,10.75,24.06,12.73,1.64,71.51,0.17,1.24,NA,NA,NA,NA,22.99,61.06,NA,110.68,NA,NA,NA,714.52,NA
2020-02-02 00:00:00,34.39,74.19,0.73,13.62,7.83,22.02,10.88,1.23,68.29,0.14,0.77,NA,NA,NA,NA,22.17,62.00,NA,122.17,NA,NA,NA,716.26,NA
2020-02-03 00:00:00,28.95,73.17,0.71,21.41,11.97,21.55,10.54,1.16,58.72,0.17,1.04,NA,NA,NA,NA,22.55,56.05,NA,142.89,NA,NA,NA,716.34,NA
2020-02-04 00:00:00,24.40,72.61,0.66,21.48,11.96,21.01,11.58,1.39,53.65,0.19,1.45,NA,NA,NA,NA,21.95,57.42,NA,121.02,NA,NA,NA,715.14,NA
2020-02-05 00:00:00,25.95,72.92,0.69,18.49,10.40,21.31,9.97,1.03,63.03,0.18,1.16,NA,NA,NA,NA,23.02,60.70,NA,123.41,NA,NA,NA,715.23,NA
