Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2022-01-01 00:00:00,28.39,65.34,8.92,18.69,27.61,4.72,1.72,0.85,41.10,0.89,3.12,NA,NA,0.56,0.89,NA,80.04,NA,NA,NA,NA,63.41,922.74,NA
2022-01-02 00:00:00,28.42,65.40,7.94,16.05,23.98,5.04,1.52,0.67,48.84,0.89,3.12,NA,NA,0.56,0.89,NA,73.81,NA,NA,NA,NA,121.54,920.34,NA
2022-01-03 00:00:00,28.39,72.14,9.87,21.06,30.93,5.52,1.78,0.83,40.62,1.19,2.71,NA,NA,0.84,0.51,NA,71.17,NA,NA,NA,NA,133.72,920.52,NA
2022-01-04 00:00:00,25.11,74.57,9.20,19.88,29.08,4.55,1.70,0.79,39.69,1.14,2.46,NA,NA,0.81,0.43,NA,67.71,NA,NA,NA,NA,136.56,919.51,NA
2022-01-05 00:00:00,22.87,70.20,9.24,21.67,30.91,3.73,1.78,0.95,46.06,0.89,1.97,NA,NA,0.57,0.44,NA,67.94,NA,NA,NA,NA,127.97,919.27,NA
2022-01-06 00:00:00,28.46,78.49,9.03,19.56,28.60,4.26,1.65,0.84,43.89,1.12,1.99,NA,NA,0.77,0.49,NA,70.63,NA,NA,NA,NA,133.27,919.89,NA
2022-01-07 00:00:00,37.18,91.97,8.48,19.50,27.99,3.75,1.69,0.85,41.46,1.50,2.00,NA,NA,0.58,0.56,NA,72.33,NA,NA,NA,NA,95.66,919.98,NA
2022-01-08 00:00:00,36.17,89.79,7.91,16.93,24.84,3.82,1.71,0.71,43.04,1.00,0.99,NA,NA,0.12,0.80,NA,75.85,NA,NA,NA,NA,92.49,920.56,NA
2022-01-09 00:00:00,33.48,84.86,7.62,15.44,23.06,4.42,1.97,0.66,44.82,1.00,0.99,NA,NA,0.12,0.80,NA,73.09,NA,NA,NA,NA,111.95,919.52,NA
2022-01-10 00:00:00,40.38,87.34,8.06,18.17,26.23,3.88,1.77,0.81,43.71,1.40,1.08,NA,NA,0.12,0.54,NA,71.71,NA,NA,NA,NA,104.02,919.25,NA
